sale_date,gross_sales_amount,return_offset_amount,net_sales_amount,prop_gross_sales_amount,prop_return_offset_amount,prop_net_sales_amount,all_goods_net_sales_amount,flow_sales_related_actual_money,flow_sales_related_cash_money,flow_sales_actual_money,flow_exchange_actual_money,flow_return_actual_money,flow_stored_value_actual_money,gross_sales_qty,return_offset_qty,net_sales_qty,core_order_count,all_goods_order_count,is_trusted_core_sales,cash_scope
2025-03-17,261.0,-261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,-261.0,2000.0,4,-4,0,4,4,True,销售/换货/退货现金回款（含道具）
2025-03-18,1666.0,0.0,1666.0,0.0,0.0,0.0,1666.0,1666.0,1666.0,1666.0,0.0,0.0,0.0,20,0,20,7,7,True,销售/换货/退货现金回款（含道具）
2025-03-19,3158.0,-1064.05,2093.95,0.0,0.0,0.0,2093.95,2093.95,2093.95,3158.0,0.0,-1064.05,0.0,31,-9,22,11,11,True,销售/换货/退货现金回款（含道具）
2025-03-20,1216.0,0.0,1216.0,0.0,0.0,0.0,1216.0,1216.0,1216.0,1216.0,0.0,0.0,0.0,18,0,18,6,6,True,销售/换货/退货现金回款（含道具）
2025-03-21,973.0,0.0,973.0,0.0,0.0,0.0,973.0,973.0,973.0,973.0,0.0,0.0,0.0,21,0,21,4,4,True,销售/换货/退货现金回款（含道具）
2025-03-22,1302.0,-251.0,1051.0,0.0,0.0,0.0,1051.0,1051.0,1051.0,1302.0,0.0,-251.0,0.0,22,-3,19,8,8,True,销售/换货/退货现金回款（含道具）
2025-03-23,5274.26,-261.26,5013.0,0.0,0.0,0.0,5013.0,5013.0,5013.0,5013.0,0.0,0.0,0.0,56,-1,55,15,15,True,销售/换货/退货现金回款（含道具）
2025-03-24,1199.0,0.0,1199.0,0.0,0.0,0.0,1199.0,1199.0,1199.0,1199.0,0.0,0.0,0.0,14,0,14,5,5,True,销售/换货/退货现金回款（含道具）
2025-03-25,3168.0,0.0,3168.0,0.0,0.0,0.0,3168.0,3168.0,3168.0,3168.0,0.0,0.0,0.0,33,0,33,9,9,True,销售/换货/退货现金回款（含道具）
2025-03-26,1945.0,0.0,1945.0,0.0,0.0,0.0,1945.0,1945.0,1945.0,1945.0,0.0,0.0,0.0,20,0,20,8,8,True,销售/换货/退货现金回款（含道具）
2025-03-27,2804.0,-79.79,2724.21,0.0,0.0,0.0,2724.21,2724.21,2724.21,2804.0,0.0,-79.79,0.0,45,-1,44,12,12,True,销售/换货/退货现金回款（含道具）
2025-03-28,2692.0,0.0,2692.0,0.0,0.0,0.0,2692.0,2692.0,2692.0,2692.0,0.0,0.0,0.0,36,0,36,11,11,True,销售/换货/退货现金回款（含道具）
2025-03-29,3663.0,0.0,3663.0,0.0,0.0,0.0,3663.0,3663.0,3663.0,3663.0,0.0,0.0,0.0,37,0,37,12,12,True,销售/换货/退货现金回款（含道具）
2025-03-30,2713.0,-321.0,2392.0,0.0,0.0,0.0,2392.0,2392.0,2392.0,2713.0,0.0,-321.0,0.0,39,-4,35,15,15,True,销售/换货/退货现金回款（含道具）
2025-03-31,1364.39,-406.39,958.0,0.0,0.0,0.0,958.0,958.0,958.0,914.0,44.0,0.0,0.0,18,-5,13,7,7,True,销售/换货/退货现金回款（含道具）
2025-04-01,2195.0,0.0,2195.0,0.0,0.0,0.0,2195.0,2195.0,2195.0,2195.0,0.0,0.0,0.0,27,0,27,6,6,True,销售/换货/退货现金回款（含道具）
2025-04-02,1197.24,-63.24,1134.0,0.0,0.0,0.0,1134.0,1134.0,1134.0,1134.0,0.0,0.0,0.0,8,-1,7,3,3,True,销售/换货/退货现金回款（含道具）
2025-04-03,1506.0,0.0,1506.0,0.0,0.0,0.0,1506.0,1506.0,1065.0,1506.0,0.0,0.0,2000.0,19,0,19,5,5,True,销售/换货/退货现金回款（含道具）
2025-04-04,2141.98,-409.98,1732.0,0.0,0.0,0.0,1732.0,1732.0,1732.0,1732.0,0.0,0.0,0.0,23,-3,20,7,7,True,销售/换货/退货现金回款（含道具）
2025-04-05,2608.41,-228.41,2380.0,0.0,0.0,0.0,2380.0,2380.0,2380.0,2341.0,39.0,0.0,0.0,36,-1,35,15,15,True,销售/换货/退货现金回款（含道具）
2025-04-06,2778.0,0.0,2778.0,0.0,0.0,0.0,2778.0,2778.0,2778.0,2778.0,0.0,0.0,0.0,30,0,30,9,9,True,销售/换货/退货现金回款（含道具）
2025-04-07,1395.45,-338.45,1057.0,0.0,0.0,0.0,1057.0,1057.0,1057.0,1014.0,43.0,0.0,0.0,13,-3,10,5,5,True,销售/换货/退货现金回款（含道具）
2025-04-08,3021.0,0.0,3021.0,199.0,0.0,199.0,3220.0,3220.0,3220.0,3220.0,0.0,0.0,0.0,40,0,40,12,13,True,销售/换货/退货现金回款（含道具）
2025-04-09,894.0,0.0,894.0,199.0,0.0,199.0,1093.0,1093.0,1093.0,1093.0,0.0,0.0,0.0,10,0,10,4,5,True,销售/换货/退货现金回款（含道具）
2025-04-10,472.0,0.0,472.0,0.0,0.0,0.0,472.0,472.0,472.0,472.0,0.0,0.0,0.0,9,0,9,4,4,True,销售/换货/退货现金回款（含道具）
2025-04-11,2116.0,0.0,2116.0,0.0,0.0,0.0,2116.0,2116.0,2116.0,2116.0,0.0,0.0,0.0,27,0,27,9,9,True,销售/换货/退货现金回款（含道具）
2025-04-12,4558.02,-582.02,3976.0,263.0,0.0,263.0,4239.0,4239.0,4239.0,4496.0,-3.0,-254.0,0.0,61,-5,56,19,20,True,销售/换货/退货现金回款（含道具）
2025-04-13,1836.0,0.0,1836.0,0.0,0.0,0.0,1836.0,1836.0,1549.0,1836.0,0.0,0.0,0.0,31,0,31,11,11,True,销售/换货/退货现金回款（含道具）
2025-04-14,955.77,-92.77,863.0,0.0,0.0,0.0,863.0,863.0,863.0,863.0,0.0,0.0,0.0,11,-2,9,5,5,True,销售/换货/退货现金回款（含道具）
2025-04-15,2429.71,-164.71,2265.0,0.0,0.0,0.0,2265.0,2265.0,2265.0,2265.0,0.0,0.0,0.0,20,-1,19,9,9,True,销售/换货/退货现金回款（含道具）
2025-04-16,3854.0,0.0,3854.0,0.0,0.0,0.0,3854.0,3854.0,3854.0,3854.0,0.0,0.0,0.0,39,0,39,13,13,True,销售/换货/退货现金回款（含道具）
2025-04-17,1889.76,-105.76,1784.0,0.0,0.0,0.0,1784.0,1784.0,1784.0,1784.0,0.0,0.0,0.0,24,-1,23,11,11,True,销售/换货/退货现金回款（含道具）
2025-04-18,4212.3,-375.3,3837.0,0.0,0.0,0.0,3837.0,3837.0,3837.0,3772.0,65.0,0.0,0.0,36,-3,33,14,14,True,销售/换货/退货现金回款（含道具）
2025-04-19,4537.0,0.0,4537.0,0.0,0.0,0.0,4537.0,4537.0,4537.0,4537.0,0.0,0.0,0.0,56,0,56,17,17,True,销售/换货/退货现金回款（含道具）
2025-04-20,5218.34,-611.34,4607.0,0.0,0.0,0.0,4607.0,4607.0,4607.0,5034.0,40.0,-467.0,0.0,54,-5,49,18,18,True,销售/换货/退货现金回款（含道具）
2025-04-21,3663.86,-481.7,3182.16,0.0,0.0,0.0,3182.16,3182.16,3182.16,3436.0,0.0,-253.84,0.0,40,-5,35,14,14,True,销售/换货/退货现金回款（含道具）
2025-04-22,1153.5,-208.5,945.0,165.0,0.0,165.0,1110.0,1110.0,1110.0,1110.0,0.0,0.0,0.0,13,-1,12,7,8,True,销售/换货/退货现金回款（含道具）
2025-04-23,3881.62,-1896.62,1985.0,0.0,0.0,0.0,1985.0,1985.0,1985.0,2581.0,0.0,-596.0,0.0,56,-13,43,18,18,True,销售/换货/退货现金回款（含道具）
2025-04-24,1631.02,-48.02,1583.0,0.0,0.0,0.0,1583.0,1583.0,1583.0,1583.0,0.0,0.0,0.0,22,-1,21,11,11,True,销售/换货/退货现金回款（含道具）
