商品款号,商品名称,大类,中类,小类,实际库存,近期零售,动销率,零售价,建议动作
TNQ1W60628,小黑托昵连裤袜,袜品,连裤袜,丝制连裤袜,62,4,0.06451612903225806,49,先停补再去化
TOX2K10296,抑菌男平角内裤,内裤,常规内裤,莫代尔内裤,51,1,0.0196078431372549,66,先停补再去化
TOX1W30932,小黑托昵童袜,袜品,儿童袜,单双装童袜,48,0,0.0,14,先停补再去化
TOX1W30935,小黑托昵童袜,袜品,儿童袜,单双装童袜,47,1,0.02127659574468085,16,先停补再去化
TOX1W30936,小黑托昵童袜,袜品,儿童袜,单双装童袜,47,1,0.02127659574468085,16,先停补再去化
TOX1W30931,小黑托昵童袜,袜品,儿童袜,单双装童袜,47,1,0.02127659574468085,14,先停补再去化
TOX1W30925,小黑托昵童袜,袜品,儿童袜,单双装童袜,46,2,0.043478260869565216,12,先停补再去化
TOX1W30938,小黑托昵童袜,袜品,儿童袜,单双装童袜,45,3,0.06666666666666667,14,先停补再去化
TNQ2W30888,宝宝对对袜,袜品,儿童袜,宝宝对对袜,44,4,0.09090909090909091,26,先停补再去化
TNQ2W30889,宝宝对对袜,袜品,儿童袜,宝宝对对袜,44,4,0.09090909090909091,26,先停补再去化
TNQ2K10258,抑菌男平角内裤,内裤,常规内裤,天丝棉内裤,40,2,0.05,72,先停补再去化
TOX1W30930,小黑托昵童袜,袜品,儿童袜,单双装童袜,36,0,0.0,16,先停补再去化
TOX1W30939,小黑托昵童袜,袜品,儿童袜,单双装童袜,35,1,0.02857142857142857,16,先停补再去化
TOX1W30947,小黑托昵童袜,袜品,儿童袜,单双装童袜,35,1,0.02857142857142857,16,先停补再去化
TOX3K10312,高端抑菌无痕男平角内裤,内裤,常规内裤,60S高端系列,33,0,0.0,128,先停补再去化
TOX1T20214X,小黑托昵针织外套,衣着系列,衣类,T恤,24,0,0.0,248,先停补再去化
TOX3K50355,高端抑菌无痕女平角内裤,内裤,常规内裤,60S高端系列,24,0,0.0,118,先停补再去化
TOX1W30949,小黑托昵中筒袜,袜品,儿童袜,中筒袜,24,0,0.0,22,先停补再去化
TOX2W30952,宝宝对对袜,袜品,儿童袜,宝宝对对袜,24,0,0.0,22,先停补再去化
TOX2W30954,宝宝对对袜,袜品,儿童袜,宝宝对对袜,23,1,0.043478260869565216,28,先停补再去化
TOX2W30950,宝宝对对袜,袜品,儿童袜,宝宝对对袜,23,1,0.043478260869565216,26,先停补再去化
TOX2W30953,宝宝对对袜,袜品,儿童袜,宝宝对对袜,23,1,0.043478260869565216,22,先停补再去化
